('f', 'f', 'b', (0, 0, 0, -4, 4, -2))
('f', 'f', 'b', (0, 0, 0, -4, 4, -1))
('e', 'd', 'd', (0, 0, 0, 4, 2, 2))
('f', 'f', 'e', (2, 0, 0, 3, 0, 2))
('b', 'f', 'd', (1, 0, 0, -3, 0, 1))
('c', 'a', 'c', (-1, 0, 0, 3, -2, -3))
('c', 'a', 'c', (-1, 0, 0, 3, -1, -3))
('d', 'f', 'e', (-1, 0, 0, 2, 2, -2))
('d', 'f', 'e', (-1, 0, 0, 2, 2, -1))
('e', 'f', 'd', (1, 0, 0, 1, 5, 0))
('a', 'd', 'c', (0, 0, 0, -2, 2, 2))
('a', 'd', 'c', (0, 0, 0, -1, 2, 2))
('d', 'a', 'a', (-1, 0, 0, 3, 2, 1))
('a', 'c', 'c', (1, 0, 0, -4, 0, -1))
('c', 'a', 'f', (-1, 0, 0, 4, -4, -3))
('c', 'a', 'f', (-2, 0, 0, 4, -4, -3))
('b', 'e', 'e', (-1, 0, 0, 2, -2, -2))
('b', 'e', 'e', (-1, 0, 0, 2, -2, -1))
('b', 'e', 'e', (-1, 0, 0, 2, -1, -2))
('b', 'e', 'e', (-1, 0, 0, 2, -1, -1))
('d', 'e', 'e', (1, 0, 0, 1, 0, 1))
('f', 'f', 'a', (2, 0, 0, -3, 0, 0))
('d', 'f', 'e', (-1, 0, 0, 3, -5, 0))
('e', 'f', 'd', (-1, 0, 0, 3, -3, -2))
('e', 'f', 'd', (-1, 0, 0, 3, -3, -1))
('c', 'f', 'd', (1, 0, 0, 1, -3, 3))
('a', 'e', 'e', (0, 0, 0, -3, 1, 1))
('c', 'c', 'c', (0, 0, 0, 3, 4, 1))
('e', 'f', 'e', (0, 0, 0, -4, -3, 2))
('a', 'b', 'c', (1, 0, 0, 2, 5, -1))
('a', 'a', 'c', (0, 0, 0, -4, 0, 0))
('a', 'a', 'f', (-1, 0, 0, 3, 0, 0))
('a', 'a', 'f', (-2, 0, 0, 3, 0, 0))
('b', 'd', 'd', (0, 0, 0, 0, 2, 0))
('f', 'f', 'f', (0, 0, 0, -3, 2, -2))
('f', 'f', 'f', (0, 0, 0, -3, 2, -1))
('e', 'e', 'e', (0, 0, 0, 0, 2, 0))
('d', 'a', 'b', (0, 0, 0, 1, -2, 0))
('d', 'a', 'b', (0, 0, 0, 1, -1, 0))
('e', 'f', 'e', (0, 0, 0, 4, 0, 1))
('e', 'f', 'e', (2, 0, 0, 3, 5, 2))
('e', 'd', 'd', (1, 0, 0, 3, 2, 3))
('e', 'f', 'c', (-1, 0, 0, -2, -5, -2))
('e', 'f', 'c', (-1, 0, 0, -2, -5, -1))
('e', 'f', 'c', (-1, 0, 0, -1, -5, -2))
('e', 'f', 'c', (-1, 0, 0, -1, -5, -1))
('f', 'f', 'a', (2, 0, 0, -2, 3, 4))
('f', 'f', 'a', (2, 0, 0, -1, 3, 4))
('c', 'd', 'd', (0, 0, 0, -4, 1, -2))
('c', 'd', 'd', (0, 0, 0, -4, 1, -1))
('b', 'f', 'b', (-1, 0, 0, -4, 0, 0))
('a', 'a', 'a', (0, 0, 0, -4, -1, 1))
('a', 'a', 'a', (0, 0, 0, -4, -2, 1))
('b', 'f', 'b', (-2, 0, 0, -4, 0, 0))
('b', 'f', 'e', (-1, 0, 0, 0, -3, 1))
('f', 'c', 'd', (1, 0, 0, 1, 3, 3))
('d', 'd', 'd', (0, 0, 0, 2, 4, 0))
('e', 'e', 'e', (1, 0, 0, 0, 3, 1))
('a', 'b', 'b', (0, 0, 0, -2, 1, 1))
('a', 'b', 'b', (0, 0, 0, -1, 1, 1))
('d', 'a', 'e', (1, 0, 0, 4, 3, 0))
('a', 'e', 'd', (0, 0, 0, -3, 3, 1))
('a', 'c', 'c', (1, 0, 0, 2, -3, 2))
